"","from","to","weight","type","edge_color","edge_type"
"454",17,181,0.3,"topic_document","blue",NA
"455",18,181,0.3,"topic_document","blue",NA
"456",25,181,0.1125,"topic_document","blue",NA
"457",26,181,0.1125,"topic_document","blue",NA
"458",29,181,0.112676056338028,"topic_document","blue",NA
"459",30,181,0.112676056338028,"topic_document","blue",NA
"460",35,181,0.101694915254237,"topic_document","blue",NA
"461",36,181,0.101694915254237,"topic_document","blue",NA
"462",39,181,0.107692307692308,"topic_document","blue",NA
"463",40,181,0.107692307692308,"topic_document","blue",NA
"464",41,181,0.121621621621622,"topic_document","blue",NA
"465",42,181,0.121621621621622,"topic_document","blue",NA
"466",45,181,0.308823529411765,"topic_document","blue",NA
"467",46,181,0.308823529411765,"topic_document","blue",NA
"468",49,181,0.194805194805195,"topic_document","blue",NA
"469",50,181,0.194805194805195,"topic_document","blue",NA
"470",55,181,0.154929577464789,"topic_document","blue",NA
"471",56,181,0.154929577464789,"topic_document","blue",NA
"472",65,181,0.112903225806452,"topic_document","blue",NA
"473",66,181,0.112903225806452,"topic_document","blue",NA
"474",73,181,0.169230769230769,"topic_document","blue",NA
"475",74,181,0.169230769230769,"topic_document","blue",NA
"476",77,181,0.116883116883117,"topic_document","blue",NA
"477",78,181,0.116883116883117,"topic_document","blue",NA
"478",85,181,0.123076923076923,"topic_document","blue",NA
"479",86,181,0.123076923076923,"topic_document","blue",NA
"480",99,181,0.107692307692308,"topic_document","blue",NA
"481",100,181,0.107692307692308,"topic_document","blue",NA
"482",107,181,0.181818181818182,"topic_document","blue",NA
"483",108,181,0.181818181818182,"topic_document","blue",NA
"484",113,181,0.169230769230769,"topic_document","blue",NA
"485",114,181,0.169230769230769,"topic_document","blue",NA
"486",119,181,0.2,"topic_document","blue",NA
"487",120,181,0.2,"topic_document","blue",NA
"488",121,181,0.129032258064516,"topic_document","blue",NA
"489",122,181,0.129032258064516,"topic_document","blue",NA
"490",129,181,0.107142857142857,"topic_document","blue",NA
"491",130,181,0.107142857142857,"topic_document","blue",NA
"492",131,181,0.11864406779661,"topic_document","blue",NA
"493",132,181,0.11864406779661,"topic_document","blue",NA
"494",133,181,0.101694915254237,"topic_document","blue",NA
"495",134,181,0.101694915254237,"topic_document","blue",NA
"496",145,181,0.129032258064516,"topic_document","blue",NA
"497",146,181,0.129032258064516,"topic_document","blue",NA
"498",149,181,0.220588235294118,"topic_document","blue",NA
"499",150,181,0.220588235294118,"topic_document","blue",NA
"500",159,181,0.113207547169811,"topic_document","blue",NA
