"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cobC",0,NA,NA,NA,NA,NA
"cobS",0,NA,NA,NA,NA,NA
"cobT",0,NA,NA,NA,NA,NA
"cobU",0,NA,NA,NA,NA,NA
"codA",0,NA,NA,NA,NA,NA
"codB",0,NA,NA,NA,NA,NA
"cof",0,NA,NA,NA,NA,NA
"comR",0,NA,NA,NA,NA,NA
"copA",0,NA,NA,NA,NA,NA
"corA",0,NA,NA,NA,NA,NA
"cpdA",0,NA,NA,NA,NA,NA
"cpdB",0,NA,NA,NA,NA,NA
"cpoB",0,NA,NA,NA,NA,NA
"cpsB",0,NA,NA,NA,NA,NA
"cpsG",0,NA,NA,NA,NA,NA
"cpxA",0,NA,NA,NA,NA,NA
"cpxP",0,NA,NA,NA,NA,NA
"cpxQ",0,NA,NA,NA,NA,NA
"cpxR",0,NA,NA,NA,NA,NA
"cra",0,NA,NA,NA,NA,NA
"crcB",0,NA,NA,NA,NA,NA
"creA",0,NA,NA,NA,NA,NA
"creB",0,NA,NA,NA,NA,NA
"creC",0,NA,NA,NA,NA,NA
"creD",0,NA,NA,NA,NA,NA
"crl",0.163828892558713,-1.71042127684733,3.5338115409304,-0.484015985865789,0.62837452406907,NA
"crp",0,NA,NA,NA,NA,NA
"crr",0,NA,NA,NA,NA,NA
"cryptic",0,NA,NA,NA,NA,NA
"csdA",0,NA,NA,NA,NA,NA
"csdE",0,NA,NA,NA,NA,NA
"csgA",0,NA,NA,NA,NA,NA
"csgB",0,NA,NA,NA,NA,NA
"csgC",0,NA,NA,NA,NA,NA
"csgD",0,NA,NA,NA,NA,NA
"csgE",0,NA,NA,NA,NA,NA
"csgF",0,NA,NA,NA,NA,NA
"csgG",0,NA,NA,NA,NA,NA
"csiE",0,NA,NA,NA,NA,NA
"cspA",0,NA,NA,NA,NA,NA
"cspB",0,NA,NA,NA,NA,NA
"cspC",0,NA,NA,NA,NA,NA
"cspD",0,NA,NA,NA,NA,NA
"cspE",0,NA,NA,NA,NA,NA
"cspF",0,NA,NA,NA,NA,NA
"cspG",0,NA,NA,NA,NA,NA
"cspH",0,NA,NA,NA,NA,NA
"cspI",0,NA,NA,NA,NA,NA
"csqR",0,NA,NA,NA,NA,NA
"csrA",0,NA,NA,NA,NA,NA
"csrB",0,NA,NA,NA,NA,NA
"csrC",0,NA,NA,NA,NA,NA
"csrD",0,NA,NA,NA,NA,NA
"cstA",0,NA,NA,NA,NA,NA
"cueO",0,NA,NA,NA,NA,NA
"cueR",0,NA,NA,NA,NA,NA
"curA",70.970670371993,2.43922343166693,0.223694966669221,10.9042392324983,1.10009611349712e-27,7.41779093672344e-27
"cusA",0,NA,NA,NA,NA,NA
"cusB",0,NA,NA,NA,NA,NA
"cusC",0,NA,NA,NA,NA,NA
"cusF",0,NA,NA,NA,NA,NA
"cusR",0,NA,NA,NA,NA,NA
"cusS",0,NA,NA,NA,NA,NA
"cutA",0,NA,NA,NA,NA,NA
"cutC",0,NA,NA,NA,NA,NA
"cvpA",0,NA,NA,NA,NA,NA
"cvrA",0,NA,NA,NA,NA,NA
"cyaA",0,NA,NA,NA,NA,NA
"cyaR",0,NA,NA,NA,NA,NA
"cyaY",0,NA,NA,NA,NA,NA
"cybB",0,NA,NA,NA,NA,NA
"cybC",0,NA,NA,NA,NA,NA
"cycA",113.89660762817,0.445119334308616,0.138958666278303,3.20324990322763,0.00135886008979651,0.00262861459993423
"cydA",0,NA,NA,NA,NA,NA
"cydB",0,NA,NA,NA,NA,NA
"cydC",19.0029779895543,1.82860024169901,0.563440059924281,3.24542106918125,0.0011727707112211,0.0023064490654015
"cydD",0,NA,NA,NA,NA,NA
"cydH",0,NA,NA,NA,NA,NA
"cydX",0,NA,NA,NA,NA,NA
"cynR",0,NA,NA,NA,NA,NA
"cynS",0,NA,NA,NA,NA,NA
"cynT",0,NA,NA,NA,NA,NA
"cynX",0,NA,NA,NA,NA,NA
"cyoA",1125.61301129541,-1.10930657907865,0.0510927048375772,-21.7116432297941,1.59260900017998e-104,5.36936748632106e-103
"cyoB",0,NA,NA,NA,NA,NA
"cyoC",0,NA,NA,NA,NA,NA
"cyoD",0,NA,NA,NA,NA,NA
"cyoE",0,NA,NA,NA,NA,NA
"cysA",0,NA,NA,NA,NA,NA
"cysB",0,NA,NA,NA,NA,NA
"cysC",0,NA,NA,NA,NA,NA
"cysD",0,NA,NA,NA,NA,NA
"cysE",0,NA,NA,NA,NA,NA
"cysG",0,NA,NA,NA,NA,NA
"cysH",0,NA,NA,NA,NA,NA
"cysI",0,NA,NA,NA,NA,NA
"cysJ",0,NA,NA,NA,NA,NA
"cysK",0,NA,NA,NA,NA,NA
"cysM",0,NA,NA,NA,NA,NA
"cysN",0,NA,NA,NA,NA,NA
"cysP",0,NA,NA,NA,NA,NA
"cysQ",0,NA,NA,NA,NA,NA
"cysS",0,NA,NA,NA,NA,NA
"cysT",0.982683898639506,-1.42619915901937,2.01146911162046,-0.709033586834655,0.478303634419641,0.556476189126205
"cysU",0,NA,NA,NA,NA,NA
"cysW",0,NA,NA,NA,NA,NA
"cysZ",0,NA,NA,NA,NA,NA
"cytR",0,NA,NA,NA,NA,NA
"cyuA",0,NA,NA,NA,NA,NA
"cyuP",0,NA,NA,NA,NA,NA
"dacA",0,NA,NA,NA,NA,NA
"dacB",0,NA,NA,NA,NA,NA
"dacC",0,NA,NA,NA,NA,NA
"dacD",0,NA,NA,NA,NA,NA
"dadA",0,NA,NA,NA,NA,NA
"dadX",0,NA,NA,NA,NA,NA
"dam",0,NA,NA,NA,NA,NA
"damX",0,NA,NA,NA,NA,NA
"dapA",0,NA,NA,NA,NA,NA
"dapB",0,NA,NA,NA,NA,NA
"dapD",0,NA,NA,NA,NA,NA
"dapE",0,NA,NA,NA,NA,NA
"dapF",0,NA,NA,NA,NA,NA
"dauA",0.703090437881918,2.44637486867327,3.42179077024013,0.714939934361211,0.474646159555129,0.556476189126205
"dbpA",0,NA,NA,NA,NA,NA
"dcd",0,NA,NA,NA,NA,NA
"dcm",0,NA,NA,NA,NA,NA
"dcp",0,NA,NA,NA,NA,NA
"dcrB",0,NA,NA,NA,NA,NA
"dctA",0,NA,NA,NA,NA,NA
"dctR",0,NA,NA,NA,NA,NA
"dcuA",0,NA,NA,NA,NA,NA
"dcuB",0,NA,NA,NA,NA,NA
"dcuC",0,NA,NA,NA,NA,NA
"dcuD",0,NA,NA,NA,NA,NA
"dcuR",0,NA,NA,NA,NA,NA
"dcuS",0,NA,NA,NA,NA,NA
"dcyD",32.3092285536972,0.235017024095813,0.262069855882167,0.896772439946247,0.369840357032612,0.464267682232427
"ddlA",0,NA,NA,NA,NA,NA
"ddlB",0,NA,NA,NA,NA,NA
"ddpA",0,NA,NA,NA,NA,NA
"ddpB",0,NA,NA,NA,NA,NA
"ddpC",0,NA,NA,NA,NA,NA
"ddpD",0,NA,NA,NA,NA,NA
"ddpF",0,NA,NA,NA,NA,NA
"ddpX",0,NA,NA,NA,NA,NA
"deaD",593.494950987154,-0.707425031796934,0.0613102897085282,-11.5384389008772,8.44438192968202e-31,6.42862624324179e-30
"decR",0,NA,NA,NA,NA,NA
"dedA",0,NA,NA,NA,NA,NA
"dedD",0,NA,NA,NA,NA,NA
"def",240.011438448282,-0.0326024670134838,0.102782241201032,-0.31719941725844,0.751092292068291,0.794877941381689
"degP",0,NA,NA,NA,NA,NA
"degQ",0,NA,NA,NA,NA,NA
"degS",0,NA,NA,NA,NA,NA
"deoA",0,NA,NA,NA,NA,NA
"deoB",0,NA,NA,NA,NA,NA
"deoC",0,NA,NA,NA,NA,NA
"deoD",0,NA,NA,NA,NA,NA
"deoR",0,NA,NA,NA,NA,NA
"der",0,NA,NA,NA,NA,NA
"dfp",0,NA,NA,NA,NA,NA
"dgcC",0,NA,NA,NA,NA,NA
"dgcE",0,NA,NA,NA,NA,NA
"dgcF",0,NA,NA,NA,NA,NA
"dgcI",0,NA,NA,NA,NA,NA
